Category,Sub-Category,Metric,"Anderson County, TN","Bedford County, TN","Benton County, TN","Bledsoe County, TN","Blount County, TN","Bradley County, TN","Campbell County, TN","Cannon County, TN","Carroll County, TN","Carter County, TN","Cheatham County, TN","Chester County, TN","Claiborne County, TN","Clay County, TN","Cocke County, TN","Coffee County, TN","Crockett County, TN","Cumberland County, TN","Davidson County, TN","Decatur County, TN","DeKalb County, TN","Dickson County, TN","Dyer County, TN","Fayette County, TN","Fentress County, TN","Franklin County, TN","Gibson County, TN","Giles County, TN","Grainger County, TN","Greene County, TN","Grundy County, TN","Hamblen County, TN","Hamilton County, TN","Hancock County, TN","Hardeman County, TN","Hardin County, TN","Hawkins County, TN","Haywood County, TN","Henderson County, TN","Henry County, TN","Hickman County, TN","Houston County, TN","Humphreys County, TN","Jackson County, TN","Jefferson County, TN","Johnson County, TN","Knox County, TN","Lake County, TN","Lauderdale County, TN","Lawrence County, TN","Lewis County, TN","Lincoln County, TN","Loudon County, TN","Macon County, TN","Madison County, TN","Marion County, TN","Marshall County, TN","Maury County, TN","McMinn County, TN","McNairy County, TN","Meigs County, TN","Monroe County, TN","Montgomery County, TN","Moore County, TN","Morgan County, TN","Obion County, TN","Overton County, TN","Perry County, TN","Pickett County, TN","Polk County, TN","Putnam County, TN","Rhea County, TN","Roane County, TN","Robertson County, TN","Rutherford County, TN","Scott County, TN","Sequatchie County, TN","Sevier County, TN","Shelby County, TN","Smith County, TN","Stewart County, TN","Sullivan County, TN","Sumner County, TN","Tipton County, TN","Trousdale County, TN","Unicoi County, TN","Union County, TN","Van Buren County, TN","Warren County, TN","Washington County, TN","Wayne County, TN","Weakley County, TN","White County, TN","Williamson County, TN","Wilson County, TN"
"Occupation Metrics","Chemical Equipment Operators and Tenders","Jobs (2025)",33.1343337165,,15.7918655513,,18.6216046759,43.8761568187,12.4833293124,0,27.2185990374,,12.5707062045,,,0,,38.3554742194,,30.3620340011,106.273846749,0,17.9185465083,,,62.9283484869,0,,,,,30.1701057126,0,33.5196705199,186.345367374,,44.713307072,11.7229040515,165.12028569,73.3245956079,,,0,0,117.341317861,0,10.6003600688,,101.0767798,0,,,,,,,14.6665704097,14.7511551515,12.3032651477,55.8177638421,76.407683085,,,35.5549884468,47.0739217129,0,,14.0583106188,,,,,,26.7165564387,,,136.33643667,,10.5536519746,16.4397059363,509.475786155,,,1523.93056634,39.1724491165,,0,90.7251501741,12.6596741869,0,,107.877099072,0,,,15.0390705129,14.0639352754
"Occupation Metrics","Production Workers, All Other","Jobs (2025)",563.078530014,308.002737536,38.126811856,,545.45884377,660.798192335,92.295814442,,57.0478039657,46.520440541,100.149262076,30.6375433409,116.511774561,11.6943185478,51.4978330792,378.474307128,53.5881194012,240.145588446,2233.2168455,23.0232331508,92.5441858597,145.971447639,274.266401624,54.2634031723,21.5946173795,138.737039217,163.463859668,178.563385648,52.3422771739,311.033892163,13.0899034271,703.058392575,1444.59835748,,67.5291319567,132.031779947,121.185809312,107.208017971,70.3399253366,123.094120211,15.0994614356,,78.0277826294,13.3238941668,122.027656038,28.3459623948,1471.28774157,,61.802774537,146.418093092,34.0218548915,156.630956506,159.975925807,36.2526118251,928.574292921,93.5191741671,156.91062593,216.396847708,288.884926907,72.8348290353,25.5786878489,217.707688096,486.556511748,71.9287683434,,136.23038733,93.4300021795,30.1884368451,,21.7190092014,494.296885406,188.418429177,143.683837326,238.024671742,948.05094096,82.0177699711,30.7999882193,115.379211182,2574.09946625,38.8616066992,48.0621975961,390.365063415,303.855962128,62.9260640176,10.1360212676,48.1799963147,24.6019661908,,270.247402872,246.62883774,15.8881894289,120.307983783,165.178090534,564.905754085,249.210881454
"Occupation Metrics","Chemical Equipment Operators and Tenders","2025 Employment Concentration",0.894361,0.237612,4.457223,3.036938,0.40134,1.29311,1.648818,0.018742,4.338416,0.345324,1.574573,0.258949,0.415623,0.001942,1.467581,1.79645,1.131368,1.907028,0.232883,0.007628,3.994766,0.523878,0.341422,8.92473,0.022016,0.08798,0.094013,0.676457,0.229683,1.476657,0.060307,1.234804,1.02542,2.068206,8.373139,1.685609,16.28514,11.760818,0.052713,0.776251,0.040859,0.005037,24.550963,0.003021,0.898445,1.179827,0.46373,0.052642,0.106313,0.05122,2.634802,0.170481,0.122016,0.185504,0.294992,2.185736,1.553849,1.636624,5.429021,0.189568,4.46705,2.939688,0.878409,0.001018,0.206269,1.429239,0.18579,0.528049,0.345734,0.316217,0.01861,2.666357,0.331569,0.275577,1.123919,0.082142,3.613834,0.384218,1.303076,0.612463,0.358699,26.596847,0.760666,0.38056,0.061623,22.6477,5.427312,0.003205,0.796228,2.052766,0.003519,0.032154,1.549872,0.122041,0.265365
"Occupation Metrics","Production Workers, All Other","2025 Employment Concentration",6.86603,9.723013,4.861425,1.73147,5.310797,8.797879,5.507143,1.316062,4.107773,2.045473,5.666999,4.225978,7.469736,4.756857,3.615883,8.008042,7.289834,6.814014,2.210776,3.709388,9.320513,4.291526,9.023111,3.476626,2.036755,6.303397,5.713545,10.040224,6.546332,6.877214,3.268894,11.700156,3.591141,2.580277,5.712744,8.576343,5.399393,7.768144,4.666907,5.569414,1.99008,3.178873,7.375118,4.88049,4.672305,3.734221,3.049392,0.782438,5.447985,6.844736,5.772571,8.517723,4.905597,3.538609,8.437252,6.26,8.952469,2.866352,9.272813,7.189308,7.148416,8.131611,4.101584,16.351888,1.45844,6.256736,8.901116,10.027724,2.343116,4.205881,6.877425,8.494998,4.042067,5.72441,3.530667,7.781036,4.764508,1.218184,2.974225,4.294465,8.993309,3.077783,2.665528,2.858259,2.596054,5.43332,4.764685,2.454615,11.217698,2.120099,2.173288,5.913211,12.85158,2.070919,2.124254
"Occupation Metrics","Chemical Equipment Operators and Tenders","Projected Jobs (2030)",38.6010891506,,17.3616185955,,21.8046913546,47.8021414409,,0,33.5854985734,,16.5063646242,,,0,,49.189891996,,33.2554635397,113.461115697,0,23.5409443898,,,68.2065087549,0,,,,,34.0676945984,0,33.254149065,179.897425601,,51.2405094058,11.6906714029,200.232136508,100.718963327,,10.6460323102,0,0,150.30375635,0,,,103.054245224,0,,,,,,,14.725550358,18.1935892406,13.0634172816,62.3706459172,87.6171302394,,,37.7457924884,53.5214553588,0,,16.7012776235,,,0,,,28.1430197758,,,151.688323025,,11.6936987505,19.3171062684,520.223510026,,,1491.8096131,35.757995096,,0,102.668393103,19.8945813321,0,,132.646201055,0,,,19.4696402202,19.7025721733
"Occupation Metrics","Production Workers, All Other","Projected Jobs (2030)",571.853000623,281.707501909,37.6660247456,10.9934145657,560.829009623,564.771919611,109.365640201,,62.2711004058,53.2021762197,103.844068455,32.4475233141,113.082084557,11.5595937138,56.8479076365,343.949214956,54.6347447892,242.310218739,2271.61360587,23.7672184276,80.9728866071,144.433998204,277.873823963,58.5146536372,23.1292467407,124.765866755,168.819738989,171.047376108,55.4962955931,322.366575178,15.0221585991,745.899743755,1338.60408186,,68.3484900915,135.409055937,118.290335846,130.168914993,64.7571279735,120.405506451,16.8132123592,11.2776907121,87.5423023422,14.1480909262,123.36801273,28.1553840612,1545.05841134,,57.7069316577,157.982437936,33.9558704895,161.458890733,167.532707831,40.8149462685,930.855090293,101.436472308,147.428381198,254.021753047,288.593662988,80.6388985251,23.1515261482,221.400888259,540.513892554,82.0266551302,10.0842192515,146.742462746,116.569573732,29.5674366468,,24.348765948,445.684635936,230.087534245,151.720133533,229.507131049,978.317286704,82.768274352,40.2832674597,128.505020348,2134.71030559,37.9781015033,53.2752664618,420.420859045,322.122852516,59.884990755,10.6921813343,49.0992710958,27.2627655787,,296.150441014,239.564284691,15.6539781583,118.262064289,187.121242021,619.346767702,245.651584559
"Occupation Metrics","Chemical Equipment Operators and Tenders","Average Annual Earnings",55017.7753737,,62439.3827944,,59603.5495952,74095.9497661,51935.9427087,0,74464.8297848,,60100.0783059,,,0,,52585.609915,,49919.3137788,63000.444199,0,49597.6507169,,,54078.4184542,0,,,,0,52540.4766908,0,74446.2304646,50166.9536115,,66472.7195449,70439.9618486,54030.99537,70547.6615296,,,0,0,69430.3277056,0,74612.8712596,,50189.526982,0,,,,,,,70527.6450608,47285.9098242,54560.4803094,52284.8117251,51181.7914927,,,50739.9252388,62463.355352,0,,74924.3050148,,,,,,51788.3372759,,,54205.2745148,,50192.3583904,49853.0840918,61777.2571936,,,55167.1205656,51043.7672701,,0,60616.3875634,54651.8265111,0,,61898.0398776,0,,,62950.7121098,51030.72
"Occupation Metrics","Production Workers, All Other","Average Annual Earnings",45122.9978106,40783.0712798,41332.6643946,,42302.2239653,38020.8896002,38432.16,,42073.8835966,40798.2789645,46155.8223458,41051.0603348,39270.450117,33776.9679953,44064.6877592,41978.867302,40109.9570594,39405.7622952,42572.3398835,40558.9219264,37363.1790718,38001.6,39922.9954293,35275.8212062,34906.2618458,41647.3737658,40831.9569594,43383.7327967,40023.4801567,42664.0564718,41929.0454885,39921.6867456,39378.7273842,,40091.277442,41723.3700886,39215.2436365,43759.33748,39471.9743186,39217.6500299,38018.3512084,,42397.6394429,33783.4512143,37205.778631,43871.802567,42264.1757905,,40759.6412193,40063.0229744,43015.9970688,43201.8800916,45075.5304549,38150.2971119,40349.2672554,38064.6002001,43786.7645505,40117.7156529,44927.2041106,41151.6979501,41969.9784523,38532.6166721,45309.8177253,46730.6619936,,40835.6077885,36928.2948206,37852.3245682,,36040.0248159,37634.4227819,37974.5505643,45725.4326073,40208.7336269,39123.796478,36098.8238809,37051.7734742,46799.99532,38477.2735582,44011.1529504,51192.6452567,37288.0984392,38857.2758719,34464.9067886,38001.6,40902.017334,38432.16,,38836.246008,40877.8387121,37956.710165,36410.4,33943.361209,46915.550864,39400.9398617
"Occupation Metrics","Chemical Equipment Operators and Tenders","Median Annual Earnings",51344.5746233,,62928.754594,,55628.4388816,72334.2821675,48421.3154144,0,75021.1189882,,59349.5697015,,,0,,57740.5935942,,45128.6548594,62214.6710181,0,44837.8824222,,,52160.0672994,0,,,,0,49198.1869914,0,72932.8855884,45843.6552509,,67006.0723932,70982.7873412,56256.0693291,71122.1209147,,,0,0,69995.8477645,0,73020.1445447,,46825.7297135,0,,,,,,,71414.6982255,43210.7215755,59961.6263206,51632.5280754,47926.6050836,,,47513.0902151,63506.5864224,0,,75531.7556556,,,,,,48495.5212164,,,53529.1862801,,45867.0891134,46683.998028,59585.9438046,,,57439.2612452,50406.4282562,,0,58436.8519287,50999.4982838,0,,59671.9641201,0,,,62159.1461013,50394.24
"Occupation Metrics","Production Workers, All Other","Median Annual Earnings",41761.1422338,40440.3071879,38548.8311771,,39150.1488054,36916.6435568,35568,,39239.7564293,41109.4217154,42745.6782378,38262.597517,38960.6578459,33513.4077176,43448.4497531,41626.1122072,37385.0409151,39097.0049466,39428.2539774,37827.229473,37073.0465996,35193.6,37234.0908361,32710.9783316,34623.3350276,41297.4600506,38058.3777642,43019.3463647,37040.7832926,42089.4084314,41578.2680785,37630.1761228,37921.9323791,,37391.4189687,38913.5336646,36317.2875182,40811.4727741,36813.6171988,36573.9345132,35212.7211165,,39542.4697041,33518.2685947,35068.0986932,43284.8585375,39118.2116544,,38016.3213904,39718.3115426,42654.7924051,42839.2833749,41720.4056342,35347.3187823,37608.0751951,36656.527965,43419.067888,37154.3265389,44325.8292377,38379.8600096,41410.3786587,38016.2965495,48046.0199895,46337.773144,,38085.2554587,36603.3845083,37534.1076724,,34979.2496346,37342.2656646,37449.9202127,42317.8137198,37241.407965,36233.3532543,35815.7303333,35681.4084178,46175.9953824,35701.3761316,40758.5561544,54309.6909693,34532.4823963,35985.8248118,31978.4768388,35193.6,41207.3289335,35568,,38526.2442757,41189.1392325,37637.5956452,33958.08,33677.0001178,43448.884544,36488.2814961
